home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Golden Arrows,TS Galaxy,1,1,FINISHED,2025-01-18,1557180,Matchday 14,2024-2025,1557180,D
Chippa United,Marumo Gallants,2,2,FINISHED,2025-01-18,1557178,Matchday 14,2024-2025,1557178,D
Kaizer Chiefs,Sekhukhune United,1,0,FINISHED,2025-01-19,1557177,Matchday 14,2024-2025,1557177,H
Magesi,Mamelodi Sundowns,1,2,FINISHED,2025-01-22,1557179,Matchday 14,2024-2025,1557179,A
AmaZulu,Stellenbosch,0,5,FINISHED,2025-01-23,1557176,Matchday 14,2024-2025,1557176,A
Royal AM,Orlando Pirates,,,UPCOMING,2025-01-23,1557183,Matchday 14,2024-2025,1557183,
Richards Bay,Magesi,0,0,FINISHED,2025-01-31,1557175,Matchday 15,2024-2025,1557175,D
Orlando Pirates,Kaizer Chiefs,1,0,FINISHED,2025-02-01,1557172,Matchday 15,2024-2025,1557172,H
Marumo Gallants,Royal AM,,,UPCOMING,2025-02-01,1557173,Matchday 15,2024-2025,1557173,
Stellenbosch,Sekhukhune United,1,1,FINISHED,2025-02-01,1557174,Matchday 15,2024-2025,1557174,D
Polokwane City,Chippa United,1,0,FINISHED,2025-02-01,1557171,Matchday 15,2024-2025,1557171,H
AmaZulu,Siwelele,2,1,FINISHED,2025-02-01,1557170,Matchday 15,2024-2025,1557170,H
TS Galaxy,Cape Town City,2,0,FINISHED,2025-02-02,1557169,Matchday 15,2024-2025,1557169,H
Mamelodi Sundowns,Golden Arrows,4,0,FINISHED,2025-02-02,1557184,Matchday 15,2024-2025,1557184,H
Royal AM,Stellenbosch,,,UPCOMING,2025-02-04,1557345,Matchday 16,2024-2025,1557345,
Richards Bay,Marumo Gallants,2,1,FINISHED,2025-02-04,1557332,Matchday 16,2024-2025,1557332,H
Kaizer Chiefs,AmaZulu,2,2,FINISHED,2025-02-04,1557344,Matchday 16,2024-2025,1557344,D
Magesi,Chippa United,1,4,FINISHED,2025-02-05,1557318,Matchday 16,2024-2025,1557318,A
Cape Town City,Golden Arrows,1,1,FINISHED,2025-02-05,1557343,Matchday 16,2024-2025,1557343,D
Siwelele,Mamelodi Sundowns,0,3,FINISHED,2025-02-05,1557341,Matchday 16,2024-2025,1557341,A
Sekhukhune United,Orlando Pirates,1,2,FINISHED,2025-02-05,1557342,Matchday 16,2024-2025,1557342,A
TS Galaxy,Polokwane City,0,0,FINISHED,2025-02-05,1557340,Matchday 16,2024-2025,1557340,D
Orlando Pirates,Richards Bay,1,0,FINISHED,2024-11-05,1557333,Matchday 17,2024-2025,1557333,H
Mamelodi Sundowns,Polokwane City,2,0,FINISHED,2024-11-06,1557336,Matchday 17,2024-2025,1557336,H
Stellenbosch,Kaizer Chiefs,0,1,FINISHED,2025-02-07,1557338,Matchday 17,2024-2025,1557338,A
AmaZulu,Marumo Gallants,2,0,FINISHED,2025-02-07,1557339,Matchday 17,2024-2025,1557339,H
Magesi,Cape Town City,2,0,FINISHED,2025-02-08,1557337,Matchday 17,2024-2025,1557337,H
TS Galaxy,Chippa United,1,0,FINISHED,2025-02-08,1557335,Matchday 17,2024-2025,1557335,H
Sekhukhune United,Siwelele,1,1,FINISHED,2025-02-09,1557348,Matchday 17,2024-2025,1557348,D
Golden Arrows,Royal AM,,,UPCOMING,2025-02-09,1557347,Matchday 17,2024-2025,1557347,
Richards Bay,Royal AM,,,UPCOMING,2025-02-18,1557328,Matchday 18,2024-2025,1557328,
Polokwane City,Magesi,0,1,FINISHED,2025-02-18,1557329,Matchday 18,2024-2025,1557329,A
Kaizer Chiefs,Siwelele,1,4,FINISHED,2025-02-18,1557331,Matchday 18,2024-2025,1557331,A
Cape Town City,Chippa United,0,2,FINISHED,2025-02-18,1557330,Matchday 18,2024-2025,1557330,A
TS Galaxy,Stellenbosch,2,3,FINISHED,2025-02-18,1557327,Matchday 18,2024-2025,1557327,A
Sekhukhune United,AmaZulu,4,2,FINISHED,2025-02-19,1557326,Matchday 18,2024-2025,1557326,H
Marumo Gallants,Mamelodi Sundowns,1,3,FINISHED,2025-02-19,1557325,Matchday 18,2024-2025,1557325,A
Golden Arrows,Orlando Pirates,1,2,FINISHED,2025-05-06,1557324,Matchday 18,2024-2025,1557324,A
Royal AM,Kaizer Chiefs,,,UPCOMING,2025-02-21,1557322,Matchday 19,2024-2025,1557322,
Stellenbosch,Richards Bay,1,1,FINISHED,2025-02-21,1557323,Matchday 19,2024-2025,1557323,D
Orlando Pirates,Cape Town City,2,1,FINISHED,2025-02-22,1557321,Matchday 19,2024-2025,1557321,H
Chippa United,Sekhukhune United,0,1,FINISHED,2025-02-22,1557320,Matchday 19,2024-2025,1557320,A
Mamelodi Sundowns,TS Galaxy,4,1,FINISHED,2025-02-22,1557256,Matchday 19,2024-2025,1557256,H
AmaZulu,Magesi,3,0,FINISHED,2025-02-22,1557334,Matchday 19,2024-2025,1557334,H
Marumo Gallants,Polokwane City,0,0,FINISHED,2025-02-23,1557362,Matchday 19,2024-2025,1557362,D
Siwelele,Golden Arrows,1,1,FINISHED,2025-05-29,1557376,Matchday 19,2024-2025,1557376,D
Orlando Pirates,Marumo Gallants,8,1,FINISHED,2024-12-24,1557375,Matchday 20,2024-2025,1557375,H
Stellenbosch,Polokwane City,1,1,FINISHED,2025-02-28,1557374,Matchday 20,2024-2025,1557374,D
Magesi,Siwelele,1,0,FINISHED,2025-03-01,1557373,Matchday 20,2024-2025,1557373,H
Mamelodi Sundowns,Kaizer Chiefs,1,0,FINISHED,2025-03-01,1557372,Matchday 20,2024-2025,1557372,H
TS Galaxy,Golden Arrows,2,0,FINISHED,2025-03-01,1557371,Matchday 20,2024-2025,1557371,H
Richards Bay,Chippa United,0,0,FINISHED,2025-03-01,1557370,Matchday 20,2024-2025,1557370,D
AmaZulu,Cape Town City,2,0,FINISHED,2025-03-02,1557368,Matchday 20,2024-2025,1557368,H
Sekhukhune United,Royal AM,,,UPCOMING,2025-03-02,1557369,Matchday 20,2024-2025,1557369,
Kaizer Chiefs,Magesi,1,0,FINISHED,2025-03-04,1557366,Matchday 21,2024-2025,1557366,H
Marumo Gallants,Stellenbosch,0,1,FINISHED,2025-03-04,1557367,Matchday 21,2024-2025,1557367,A
Polokwane City,Royal AM,,,UPCOMING,2025-03-05,1557363,Matchday 21,2024-2025,1557363,
Richards Bay,Sekhukhune United,2,1,FINISHED,2025-03-05,1557317,Matchday 21,2024-2025,1557317,H
Chippa United,Orlando Pirates,0,1,FINISHED,2025-03-05,1557361,Matchday 21,2024-2025,1557361,A
Siwelele,AmaZulu,0,0,FINISHED,2025-03-05,1557365,Matchday 21,2024-2025,1557365,D
Cape Town City,TS Galaxy,1,1,FINISHED,2025-03-05,1557360,Matchday 21,2024-2025,1557360,D
Golden Arrows,Mamelodi Sundowns,1,1,FINISHED,2025-03-05,1557346,Matchday 21,2024-2025,1557346,D
Royal AM,Chippa United,,,UPCOMING,2025-03-11,1557356,Matchday 22,2024-2025,1557356,
