home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Mamelodi Sundowns,TS Galaxy,,,UPCOMING,2027-04-28,21920236,Matchday 27,2026-2027,21920236,
Kruger United,Chippa United,,,UPCOMING,2027-04-28,21920211,Matchday 27,2026-2027,21920211,
Polokwane City,Richards Bay,,,UPCOMING,2027-04-28,21920051,Matchday 27,2026-2027,21920051,
AmaZulu,Sekhukhune United,,,UPCOMING,2027-04-28,21920076,Matchday 27,2026-2027,21920076,
Durban City,Siwelele,,,UPCOMING,2027-04-28,21920182,Matchday 27,2026-2027,21920182,
Chippa United,Stellenbosch,,,UPCOMING,2027-05-08,21920158,Matchday 28,2026-2027,21920158,
Polokwane City,Mamelodi Sundowns,,,UPCOMING,2027-05-08,21920167,Matchday 28,2026-2027,21920167,
Kaizer Chiefs,Kruger United,,,UPCOMING,2027-05-08,21920124,Matchday 28,2026-2027,21920124,
Milford FC,Orlando Pirates,,,UPCOMING,2027-05-08,21920227,Matchday 28,2026-2027,21920227,
Sekhukhune United,Richards Bay,,,UPCOMING,2027-05-08,21920205,Matchday 28,2026-2027,21920205,
Siwelele,Marumo Gallants,,,UPCOMING,2027-05-09,21920181,Matchday 28,2026-2027,21920181,
TS Galaxy,AmaZulu,,,UPCOMING,2027-05-09,21920208,Matchday 28,2026-2027,21920208,
Golden Arrows,Durban City,,,UPCOMING,2027-05-09,21920130,Matchday 28,2026-2027,21920130,
Kruger United,AmaZulu,,,UPCOMING,2027-05-15,21920074,Matchday 29,2026-2027,21920074,
Siwelele,Kaizer Chiefs,,,UPCOMING,2027-05-15,21920166,Matchday 29,2026-2027,21920166,
Stellenbosch,Durban City,,,UPCOMING,2027-05-15,21920241,Matchday 29,2026-2027,21920241,
Richards Bay,TS Galaxy,,,UPCOMING,2027-05-15,21920163,Matchday 29,2026-2027,21920163,
Sekhukhune United,Milford FC,,,UPCOMING,2027-05-15,21920213,Matchday 29,2026-2027,21920213,
Orlando Pirates,Marumo Gallants,,,UPCOMING,2027-05-15,21920121,Matchday 29,2026-2027,21920121,
Mamelodi Sundowns,Chippa United,,,UPCOMING,2027-05-15,21920172,Matchday 29,2026-2027,21920172,
Golden Arrows,Polokwane City,,,UPCOMING,2027-05-15,21920222,Matchday 29,2026-2027,21920222,
AmaZulu,Mamelodi Sundowns,,,UPCOMING,2027-05-22,21920187,Matchday 30,2026-2027,21920187,
Polokwane City,Orlando Pirates,,,UPCOMING,2027-05-22,21920219,Matchday 30,2026-2027,21920219,
TS Galaxy,Sekhukhune United,,,UPCOMING,2027-05-22,21920102,Matchday 30,2026-2027,21920102,
Marumo Gallants,Golden Arrows,,,UPCOMING,2027-05-22,21920238,Matchday 30,2026-2027,21920238,
Milford FC,Stellenbosch,,,UPCOMING,2027-05-22,21920190,Matchday 30,2026-2027,21920190,
Durban City,Kruger United,,,UPCOMING,2027-05-22,21920105,Matchday 30,2026-2027,21920105,
Kaizer Chiefs,Richards Bay,,,UPCOMING,2027-05-22,21920177,Matchday 30,2026-2027,21920177,
Chippa United,Siwelele,,,UPCOMING,2027-05-22,21920231,Matchday 30,2026-2027,21920231,
AmaZulu,Orbit College,1,0,FINISHED,2025-08-09,1634268,Matchday 1,2025-2026,1634268,H
Richards Bay,Marumo Gallants,1,2,FINISHED,2025-08-09,1634280,Matchday 1,2025-2026,1634280,A
Polokwane City,Magesi,0,0,FINISHED,2025-08-09,1634281,Matchday 1,2025-2026,1634281,D
Chippa United,Mamelodi Sundowns,1,1,FINISHED,2025-08-09,1634254,Matchday 1,2025-2026,1634254,D
Orlando Pirates,Sekhukhune United,0,1,FINISHED,2025-08-09,1634279,Matchday 1,2025-2026,1634279,A
Siwelele,Golden Arrows,3,1,FINISHED,2025-08-09,1634278,Matchday 1,2025-2026,1634278,H
TS Galaxy,Durban City,0,2,FINISHED,2025-08-10,1634277,Matchday 1,2025-2026,1634277,A
Stellenbosch,Kaizer Chiefs,0,2,FINISHED,2025-08-10,1634276,Matchday 1,2025-2026,1634276,A
