home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Royal AM,Orlando Pirates,,,UPCOMING,23/01/2025,1557183,Matchday 14,2024-2025
Richards Bay,Magesi,0,0,FINISHED,31/01/2025,1557175,Matchday 15,2024-2025
Orlando Pirates,Kaizer Chiefs,1,0,FINISHED,01/02/2025,1557172,Matchday 15,2024-2025
Marumo Gallants,Royal AM,,,UPCOMING,01/02/2025,1557173,Matchday 15,2024-2025
Stellenbosch,Sekhukhune United,1,1,FINISHED,01/02/2025,1557174,Matchday 15,2024-2025
Polokwane City,Chippa United FC,1,0,FINISHED,01/02/2025,1557171,Matchday 15,2024-2025
AmaZulu FC,Siwelele FC,2,1,FINISHED,01/02/2025,1557170,Matchday 15,2024-2025
TS Galaxy,Cape Town City,2,0,FINISHED,02/02/2025,1557169,Matchday 15,2024-2025
Mamelodi Sundowns,Golden Arrows,4,0,FINISHED,02/02/2025,1557184,Matchday 15,2024-2025
Royal AM,Stellenbosch,,,UPCOMING,04/02/2025,1557345,Matchday 16,2024-2025
Richards Bay,Marumo Gallants,2,1,FINISHED,04/02/2025,1557332,Matchday 16,2024-2025
Kaizer Chiefs,AmaZulu FC,2,2,FINISHED,04/02/2025,1557344,Matchday 16,2024-2025
Magesi,Chippa United FC,1,4,FINISHED,05/02/2025,1557318,Matchday 16,2024-2025
Cape Town City,Golden Arrows,1,1,FINISHED,05/02/2025,1557343,Matchday 16,2024-2025
Siwelele FC,Mamelodi Sundowns,0,3,FINISHED,05/02/2025,1557341,Matchday 16,2024-2025
Sekhukhune United,Orlando Pirates,1,2,FINISHED,05/02/2025,1557342,Matchday 16,2024-2025
TS Galaxy,Polokwane City,0,0,FINISHED,05/02/2025,1557340,Matchday 16,2024-2025
Orlando Pirates,Richards Bay,1,0,FINISHED,05/11/2024,1557333,Matchday 17,2024-2025
Mamelodi Sundowns,Polokwane City,2,0,FINISHED,06/11/2024,1557336,Matchday 17,2024-2025
Stellenbosch,Kaizer Chiefs,0,1,FINISHED,07/02/2025,1557338,Matchday 17,2024-2025
AmaZulu FC,Marumo Gallants,2,0,FINISHED,07/02/2025,1557339,Matchday 17,2024-2025
Magesi,Cape Town City,2,0,FINISHED,08/02/2025,1557337,Matchday 17,2024-2025
TS Galaxy,Chippa United FC,1,0,FINISHED,08/02/2025,1557335,Matchday 17,2024-2025
Sekhukhune United,Siwelele FC,1,1,FINISHED,09/02/2025,1557348,Matchday 17,2024-2025
Golden Arrows,Royal AM,,,UPCOMING,09/02/2025,1557347,Matchday 17,2024-2025
Richards Bay,Royal AM,,,UPCOMING,18/02/2025,1557328,Matchday 18,2024-2025
Polokwane City,Magesi,0,1,FINISHED,18/02/2025,1557329,Matchday 18,2024-2025
Kaizer Chiefs,Siwelele FC,1,4,FINISHED,18/02/2025,1557331,Matchday 18,2024-2025
Cape Town City,Chippa United FC,0,2,FINISHED,18/02/2025,1557330,Matchday 18,2024-2025
TS Galaxy,Stellenbosch,2,3,FINISHED,18/02/2025,1557327,Matchday 18,2024-2025
Sekhukhune United,AmaZulu FC,4,2,FINISHED,19/02/2025,1557326,Matchday 18,2024-2025
